Age,Total - Both Male & Female,Male,Female,North East,North West,Yorkshire & The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland
Total,1009,477,532,45,114,87,78,97,92,119,136,93,41,76,31
Percentage of Total,100%,47%,53%,4%,11%,9%,8%,10%,9%,12%,13%,9%,4%,8%,3%
18-24,134,59,75,7,15,12,10,12,14,20,19,9,3,8,5
Percentage of 18-24,13%,12%,14%,16%,13%,14%,13%,12%,15%,17%,14%,10%,7%,11%,16%
25-34,211,97,114,9,23,16,16,20,19,27,29,20,11,14,7
Percentage of 25-34,21%,20%,21%,20%,20%,18%,21%,21%,21%,23%,21%,22%,27%,18%,23%
35-44,278,132,146,12,30,24,21,26,26,36,35,26,10,23,9
Percentage of 35-44,28%,28%,27%,27%,26%,28%,27%,27%,28%,30%,26%,28%,24%,30%,29%
45-54,217,104,113,8,26,20,16,22,18,26,29,21,7,17,7
Percentage of 45-54,22%,22%,21%,18%,23%,23%,21%,23%,20%,22%,21%,23%,17%,22%,23%
55-64,169,85,84,9,20,15,15,17,15,10,24,17,10,14,3
Percentage of 55-64,17%,18%,16%,20%,18%,17%,19%,18%,16%,8%,18%,18%,24%,18%,10%
