Age,Total - Both Male & Female,Male,Female,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only)
Age : Total,1002,490,512,281,276,279,113,53
Age : Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%
Age : 18-24,129,61,68,36,33,37,16,7
Age : Percentage of 18-24,13%,12%,13%,13%,12%,13%,14%,13%
Age : 25-34,225,109,116,64,62,63,26,10
Age : Percentage of 25-34,22%,22%,23%,23%,22%,23%,23%,19%
Age : 35-44,261,129,132,73,74,71,29,14
Age : Percentage of 35-44,26%,26%,26%,26%,27%,25%,26%,26%
Age : 45-54,211,105,106,59,59,59,22,12
Age : Percentage of 45-54,21%,21%,21%,21%,21%,21%,19%,23%
Age : 55-64,176,86,90,49,48,49,20,10
Age : Percentage of 55-64,18%,18%,18%,17%,17%,18%,18%,19%
